timestamp,close,close_right,close_right,close_right,close_right,close_right,close_right,close_right,close_right,close_right
2023-10-19,28694.8,1566.93,211.3,0.519,0.2469,0.05881,0.5171,24.912,3.646,61.73
2023-10-20,29656.6,1603.53,212.3,0.5146,0.2512,0.05988,0.5354,27.0,3.714,63.32
2023-10-21,29895.4,1628.87,214.3,0.5203,0.2604,0.06116,0.5727,29.326,3.903,64.68
2023-10-22,29979.1,1663.51,217.85,0.5222,0.2636,0.06166,0.609,29.012,3.951,65.14
2023-10-23,33071.1,1766.94,228.65,0.547,0.2808,0.06711,0.6365,31.934,4.278,68.69
2023-10-24,33921.1,1785.32,225.1,0.5586,0.2796,0.06657,0.6248,30.143,4.184,68.98
2023-10-25,34489.2,1787.25,222.1,0.5547,0.2808,0.06834,0.6306,32.436,4.279,68.69
2023-10-26,34155.1,1803.71,223.3,0.5534,0.2872,0.0719,0.6325,32.767,4.233,68.76
2023-10-27,33894.0,1779.57,224.4,0.5433,0.2894,0.06782,0.609,31.727,4.135,66.82
2023-10-28,34092.1,1776.6,225.9,0.5446,0.2912,0.06903,0.6207,31.632,4.178,67.75
2023-10-29,34533.5,1795.45,227.2,0.5561,0.2971,0.06938,0.6389,32.816,4.277,68.79
2023-10-30,34484.7,1809.01,228.25,0.5786,0.3031,0.06965,0.6501,34.953,4.462,69.27
2023-10-31,34657.5,1815.08,226.45,0.5998,0.2932,0.06826,0.6361,38.366,4.432,68.96
2023-11-01,35436.3,1847.07,228.1,0.6092,0.3076,0.06898,0.6698,41.166,4.731,69.35
2023-11-02,34913.4,1800.6,231.9,0.6059,0.3233,0.06794,0.6606,40.24,4.629,69.43
2023-11-03,34702.9,1832.08,230.45,0.6121,0.3292,0.06814,0.6722,39.49,4.611,69.44
2023-11-04,35055.6,1856.29,237.2,0.6156,0.3292,0.0691,0.6775,42.429,4.687,69.98
2023-11-05,35033.9,1892.09,244.05,0.6559,0.3448,0.07113,0.6924,41.174,4.742,71.66
2023-11-06,35057.3,1900.59,255.1,0.7154,0.367,0.07646,0.7367,42.17,4.968,74.47
2023-11-07,35415.5,1886.28,246.45,0.6855,0.3534,0.07346,0.7419,43.113,4.93,73.48
2023-11-08,35656.4,1888.36,246.75,0.6877,0.3601,0.07537,0.7878,43.146,5.033,73.09
2023-11-09,36709.0,2120.46,251.75,0.6671,0.3688,0.07351,0.8402,45.347,5.09,72.79
2023-11-10,37318.6,2077.88,251.15,0.6603,0.3874,0.07549,0.8437,56.689,5.296,73.27
2023-11-11,37143.7,2053.73,251.6,0.6617,0.3865,0.07855,0.8041,56.42,5.524,75.32
2023-11-12,37085.6,2044.98,247.55,0.6617,0.384,0.07799,0.8984,56.409,5.708,74.95
2023-11-13,36484.0,2054.21,241.35,0.6677,0.3624,0.0746,0.8973,52.26,5.351,71.35
2023-11-14,35562.2,1978.62,242.3,0.6294,0.3599,0.07245,0.9175,56.817,5.198,70.23
2023-11-15,37885.4,2059.42,253.95,0.6483,0.3796,0.07628,0.9206,65.189,5.562,74.06
2023-11-16,36176.0,1961.93,242.7,0.6117,0.371,0.07934,0.8454,57.89,5.355,70.98
2023-11-17,36621.0,1960.36,244.9,0.6135,0.3673,0.08625,0.8309,58.494,5.238,70.24
2023-11-18,36579.8,1962.44,244.85,0.6105,0.3775,0.08032,0.8323,58.567,5.287,69.84
2023-11-19,37370.3,2011.68,246.45,0.6255,0.3849,0.08054,0.853,61.137,5.437,70.53
2023-11-20,37467.0,2021.62,253.3,0.6125,0.3855,0.07773,0.811,56.547,5.3,69.49
2023-11-21,35745.8,1933.48,225.9,0.5788,0.3618,0.07204,0.73,52.051,4.861,66.18
2023-11-22,37410.5,2063.19,236.3,0.611,0.3805,0.07573,0.7727,57.624,5.171,68.68
2023-11-23,37293.3,2061.44,233.8,0.6203,0.3874,0.0762,0.772,56.523,5.134,69.48
2023-11-24,37703.9,2079.2,232.8,0.6213,0.3864,0.07818,0.76,56.873,5.238,70.67
2023-11-24,37703.9,2079.2,232.8,0.6213,0.3864,0.07818,0.76,56.873,5.238,70.67
2023-11-25,37766.4,2082.94,234.4,0.6227,0.3959,0.07895,0.7795,58.835,5.328,71.81
2023-11-26,37431.4,2061.93,231.8,0.6156,0.3883,0.07864,0.7619,57.6,5.32,70.0
2023-11-27,37227.4,2027.26,227.45,0.6035,0.3782,0.07882,0.7428,55.018,5.126,69.12
2023-11-28,37810.1,2048.9,229.6,0.6105,0.386,0.08088,0.7484,58.185,5.272,69.72
2023-11-29,37839.0,2029.19,227.4,0.6089,0.3836,0.08049,0.7582,59.314,5.163,69.83
2023-11-30,37712.4,2051.62,227.7,0.6061,0.377,0.08348,0.7624,59.23,5.47,69.42
2023-12-01,38660.8,2087.59,228.55,0.6128,0.3845,0.08388,0.7997,59.898,5.471,71.55
2023-12-02,39441.0,2165.67,229.2,0.6211,0.3985,0.08626,0.8156,63.772,5.565,72.23
2023-12-03,39974.2,2193.15,228.2,0.6234,0.3955,0.08572,0.8146,62.996,5.542,72.17
2023-12-04,41993.0,2243.3,233.6,0.6248,0.4074,0.09194,0.8106,61.624,5.637,72.8
2023-12-05,44080.5,2293.5,231.25,0.6213,0.4262,0.0943,0.8137,60.979,5.848,73.15
2023-12-06,43779.9,2233.52,229.65,0.6411,0.4478,0.09503,0.8223,62.39,6.048,72.48
2023-12-07,43300.8,2357.83,232.95,0.6437,0.4592,0.09593,0.8431,67.83,6.248,74.06
2023-12-08,44209.7,2358.61,239.05,0.6735,0.548,0.10173,0.9066,74.96,6.843,78.47
2023-12-09,43742.1,2340.98,237.6,0.6592,0.5796,0.09853,0.8845,73.16,7.111,76.35
2023-12-10,43810.5,2352.17,239.85,0.6619,0.5954,0.10193,0.9237,74.82,7.346,77.15
2023-12-11,41275.6,2225.25,246.65,0.6187,0.5541,0.09413,0.8429,70.34,6.712,72.74
2023-12-12,41515.1,2203.29,253.6,0.6195,0.5774,0.0938,0.8866,68.63,7.075,72.38
2023-12-13,42877.1,2260.17,251.85,0.6274,0.6682,0.09642,0.8886,70.73,7.6,73.19
2023-12-14,43031.4,2316.36,252.5,0.6323,0.6468,0.09844,0.885,75.75,7.51,72.98
2023-12-15,41968.8,2220.77,244.0,0.6153,0.6045,0.093,0.8383,72.58,6.952,70.95
2023-12-16,42287.5,2229.59,244.0,0.6203,0.6086,0.09714,0.8521,73.78,7.097,72.2
2023-12-17,41392.0,2197.0,238.5,0.6104,0.5835,0.09294,0.8177,71.02,6.787,71.23
2023-12-18,42671.5,2218.66,241.5,0.6123,0.6032,0.09208,0.8009,74.4,6.879,70.87
2023-12-19,42294.2,2178.12,251.0,0.6049,0.5781,0.09035,0.7658,73.07,6.717,70.73
2023-12-20,43708.0,2203.28,258.5,0.6167,0.5906,0.09157,0.776,82.13,6.943,69.86
2023-12-20,43708.0,2203.28,258.5,0.6167,0.5906,0.09157,0.776,82.13,6.943,69.86
2023-12-20,43708.0,2203.28,258.5,0.6167,0.5906,0.09157,0.776,82.13,6.943,69.86
2023-12-20,43708.0,2203.28,258.5,0.6167,0.5906,0.09157,0.776,82.13,6.943,69.86
2023-12-20,43708.0,2203.28,258.5,0.6167,0.5906,0.09157,0.776,82.13,6.943,69.86
2023-12-20,43708.0,2203.28,258.5,0.6167,0.5906,0.09157,0.776,82.13,6.943,69.86
2023-12-20,43708.0,2203.28,258.5,0.6167,0.5906,0.09157,0.776,82.13,6.943,69.86
2023-12-20,43708.0,2203.28,258.5,0.6167,0.5906,0.09157,0.776,82.13,6.943,69.86
2023-12-21,43896.4,2240.03,270.5,0.6244,0.6361,0.09487,0.817,93.93,8.317,70.94
2023-12-22,44005.0,2324.85,270.5,0.6249,0.6234,0.0947,0.8773,98.03,7.943,73.66
2023-12-23,43725.7,2309.07,269.5,0.6199,0.6148,0.0936,0.859,107.67,8.344,72.55
2023-12-24,43008.1,2263.95,262.0,0.6125,0.5978,0.09307,0.8476,112.53,8.651,71.11
2023-12-25,43612.0,2271.59,264.0,0.6464,0.6349,0.09454,0.9122,119.47,9.191,72.25
2023-12-26,42541.0,2231.08,297.5,0.6221,0.6091,0.09141,1.0196,112.64,8.82,72.55
2023-12-27,43457.1,2378.6,324.0,0.6348,0.6343,0.09361,1.0377,106.97,8.699,75.18
2023-12-28,42601.4,2344.69,323.0,0.6316,0.6166,0.09187,1.0043,101.93,8.433,76.6
2023-12-29,42096.6,2299.07,313.5,0.6194,0.6084,0.09105,0.9742,106.26,8.297,73.2
2023-12-30,42176.0,2292.16,317.0,0.6211,0.6011,0.09008,0.9516,101.93,8.351,73.18
2023-12-31,42308.5,2282.74,311.0,0.6144,0.5945,0.08957,0.9717,101.57,8.184,72.76
2024-01-01,44232.4,2353.11,314.0,0.63,0.6236,0.09205,1.0165,109.55,8.603,74.55
2024-01-02,44977.6,2355.17,311.0,0.6248,0.6051,0.09111,0.972,106.67,8.416,72.91
2024-01-03,42850.9,2210.22,315.5,0.5821,0.5567,0.08196,0.8541,98.51,7.624,65.02
2024-01-04,44136.6,2267.54,323.5,0.5868,0.5697,0.08406,0.882,104.94,7.865,66.39
2024-01-05,44144.0,2267.81,316.0,0.5749,0.5408,0.08268,0.852,99.83,7.443,65.96
2024-01-06,43968.5,2240.63,307.5,0.5677,0.5226,0.08058,0.8281,93.76,7.135,65.61
2024-01-07,43909.6,2221.84,301.5,0.5495,0.4941,0.07868,0.8,89.11,6.891,64.23
2024-01-08,46970.7,2331.28,304.5,0.577,0.5405,0.08132,0.8419,97.85,7.459,67.31
2024-01-09,46110.9,2344.09,302.0,0.5667,0.512,0.07965,0.8062,99.37,7.119,66.96
2024-01-10,46655.4,2583.83,304.5,0.6002,0.5653,0.08405,0.8922,102.08,7.924,70.04
2024-01-11,46344.5,2618.46,308.0,0.602,0.5818,0.08462,0.9264,99.89,8.149,71.98
2024-01-11,46344.5,2618.46,308.0,0.602,0.5818,0.08462,0.9264,99.89,8.149,71.98
2024-01-12,42783.6,2522.38,297.5,0.5701,0.5478,0.08011,0.8642,91.88,7.548,72.91
