timestamp,open,high,low,close,volume,turnover
1642798800000,38385.0,38441.5,38224.5,38253.5,76.198,2920332.5995
1642799700000,38253.5,38304.5,37981.5,38008.5,92.331,3522119.8515
1642800600000,38008.5,38077.0,37339.0,37470.5,322.02,12118182.272
1642801500000,37470.5,37471.0,36121.5,36680.5,1313.033,48077557.879
1642802400000,36680.5,37111.5,36589.5,36821.0,163.743,6036739.5885
1642803300000,36821.0,37020.0,36435.0,36982.5,79.617,2924067.2065
1642804200000,36982.5,36982.5,36300.0,36385.5,96.806,3546775.093
1642805100000,36385.5,36529.0,35276.5,36114.0,476.301,17041197.554
1642806000000,36114.0,36486.5,35820.5,36360.0,87.755,3174299.5625
1642806900000,36360.0,36795.0,36301.0,36713.5,138.167,5056193.1055
1642807800000,36713.5,36748.0,36386.0,36435.0,117.761,4307627.425
1642808700000,36435.0,36486.5,36329.5,36466.5,118.255,4306872.9425
1642809600000,36466.5,36784.5,36214.5,36341.0,171.205,6231656.2185
1642810500000,36341.0,36442.5,36170.0,36434.0,178.723,6488135.4205
1642811400000,36434.0,36699.5,36394.5,36567.0,162.444,5945106.3335
1642812300000,36567.0,36672.5,36492.0,36492.0,86.34,3157099.975
1642813200000,36492.0,36492.0,36198.0,36219.0,127.342,4624067.093
1642814100000,36219.0,36519.0,36196.5,36264.5,85.927,3126870.11
1642815000000,36264.5,36590.0,36217.0,36507.5,46.748,1701213.051
1642815900000,36507.5,36562.0,36397.0,36482.0,48.794,1780257.611
1642816800000,36482.0,36493.5,36299.0,36477.5,60.614,2205560.026
1642817700000,36477.5,36518.0,36290.0,36311.0,299.272,10877216.415
1642818600000,36311.0,36450.0,36303.0,36425.5,41.676,1516881.2415
1642819500000,36425.5,36547.0,36348.0,36481.0,89.361,3254370.755
1642820400000,36481.0,36670.0,36474.0,36584.0,83.617,3060123.4385
1642821300000,36584.0,36650.0,36506.5,36556.5,26.315,962839.5345
1642822200000,36556.5,36577.5,35903.5,36147.5,109.38,3957558.387
1642823100000,36147.5,36362.0,36096.5,36318.0,461.882,16760943.041
1642824000000,36318.0,36412.0,36266.0,36361.0,85.258,3099202.428
